task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
61	87/86df3a	5124258	assembly:racon_cpu (HVM2044)	COMPLETED	0	2021-07-23 03:11:19.524	34m 20s	33m 55s	375.7%	2.5 GB	2.9 GB	12.4 GB	6.3 GB
64	1d/e146a5	5124262	assembly:racon_cpu (S116)	COMPLETED	0	2021-07-23 03:17:24.850	33m 5s	32m 49s	376.4%	2.6 GB	2.9 GB	13.5 GB	6.9 GB
74	0b/b1ae00	5124283	assembly:medaka_cpu (HVM2044)	COMPLETED	0	2021-07-23 03:45:39.716	6m 25s	6m 11s	409.5%	5.5 GB	12.4 GB	5.6 GB	3.5 GB
54	4f/11264a	5124250	assembly:racon_cpu (S39)	COMPLETED	0	2021-07-23 03:06:19.604	50m 45s	50m 19s	374.5%	3 GB	3.1 GB	15.4 GB	7.9 GB
75	43/193218	5124288	assembly:medaka_cpu (S116)	COMPLETED	0	2021-07-23 03:50:29.672	7m 30s	7m 7s	372.2%	5.4 GB	12.2 GB	6.2 GB	3.8 GB
63	6d/504667	5124261	assembly:racon_cpu (S34)	COMPLETED	0	2021-07-23 03:14:39.626	44m 25s	43m 49s	377.3%	3 GB	3.3 GB	15 GB	7.6 GB
76	65/d0f7c4	5124290	assembly:nextpolish (HVM2044)	COMPLETED	0	2021-07-23 03:52:04.690	9m 5s	8m 42s	340.0%	3.5 GB	71 GB	16 GB	9.5 GB
80	d0/50a6c3	5124297	assembly:fixstart (HVM2044)	COMPLETED	0	2021-07-23 04:01:09.751	1m 15s	59s	94.7%	207.7 MB	355 MB	262.2 MB	257.9 MB
81	cc/9d2236	5124298	assembly:quast (HVM2044)	COMPLETED	0	2021-07-23 04:02:24.772	35.2s	6.2s	74.0%	86.3 MB	254.9 MB	66.9 MB	9.2 MB
77	1a/c7d3e3	5124292	assembly:medaka_cpu (S39)	COMPLETED	0	2021-07-23 03:57:04.750	7m 50s	7m 32s	383.7%	5.6 GB	12.2 GB	7 GB	4.3 GB
