task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
72	4d/06193a	5133004	assembly:quast (S97)	CACHED	0	2021-07-31 11:01:22.704	40s	4.1s	67.0%	88.8 MB	255.3 MB	67.1 MB	9.3 MB
73	3f/a85814	5132939	assembly:fixstart (S112)	CACHED	0	2021-07-31 09:44:47.429	2m 10s	1m 25s	93.8%	205.4 MB	354.2 MB	261.8 MB	257.5 MB
74	df/2546d0	5132942	assembly:quast (S112)	CACHED	0	2021-07-31 09:46:57.494	39.9s	4.3s	79.7%	75.4 MB	243.9 MB	66.3 MB	9.1 MB
75	67/a0296d	5132807	assembly:flye (S116)	CACHED	0	2021-07-31 08:16:42.108	38m 50s	38m 30s	299.2%	6.8 GB	7.1 GB	22.4 GB	16.3 GB
76	7d/4e31b5	5132854	assembly:racon_cpu (S116)	CACHED	0	2021-07-31 08:55:32.346	33m	32m 40s	378.4%	2.8 GB	3.1 GB	12.3 GB	6.3 GB
77	98/70c224	5132898	assembly:medaka_cpu (S116)	CACHED	0	2021-07-31 09:28:32.379	6m 20s	5m 58s	423.1%	5.7 GB	12.3 GB	6 GB	3.7 GB
78	67/e7265d	5132917	assembly:nextpolish (S116)	CACHED	0	2021-07-31 09:34:52.554	8m 45s	8m 9s	339.4%	2 GB	46.9 GB	11.1 GB	8.3 GB
79	79/acc4de	5132938	assembly:fixstart (S116)	CACHED	0	2021-07-31 09:43:37.464	1m 45s	1m 26s	94.1%	199.7 MB	349.3 MB	253 MB	248.6 MB
80	50/33aeb1	5132799	assembly:flye (S129)	CACHED	0	2021-07-31 08:07:02.061	23m 40s	23m 17s	307.0%	5.4 GB	5.7 GB	12.7 GB	9.2 GB
81	3e/638ff9	5132827	assembly:racon_cpu (S129)	CACHED	0	2021-07-31 08:30:42.167	20m 35s	20m 20s	369.1%	1.8 GB	2.2 GB	6.8 GB	3.5 GB
82	53/0ddc70	5132848	assembly:medaka_cpu (S129)	CACHED	0	2021-07-31 08:51:17.281	6m 25s	5m 47s	398.3%	5.4 GB	12.2 GB	3.4 GB	2.1 GB
83	b0/1bce85	5132859	assembly:nextpolish (S129)	CACHED	0	2021-07-31 08:57:42.372	10m 15s	9m 55s	338.3%	2.3 GB	57.6 GB	14.3 GB	10.7 GB
84	f7/1ed36b	5132876	assembly:fixstart (S129)	CACHED	0	2021-07-31 09:07:57.886	2m 4s	1m 26s	93.6%	215.5 MB	360.6 MB	270.8 MB	266.6 MB
85	21/b34d25	5132940	assembly:quast (S116)	CACHED	0	2021-07-31 09:45:22.404	44.9s	5.2s	78.6%	88.2 MB	254.9 MB	65.6 MB	9 MB
86	a3/e760f2	5132878	assembly:quast (S129)	CACHED	0	2021-07-31 09:10:02.405	29.8s	5s	64.4%	75.8 MB	243.9 MB	67.3 MB	9.4 MB
87	d1/08b581	5132879	assembly:flye (EC958)	CACHED	0	2021-07-31 09:11:52.352	55m 45s	55m 11s	302.5%	11 GB	11.3 GB	46.1 GB	33.5 GB
89	69/eba414	5132806	assembly:flye (HVM2044)	CACHED	0	2021-07-31 08:15:17.118	34m 15s	33m 36s	303.6%	6.7 GB	7 GB	20.4 GB	14.9 GB
90	46/c4ca50	5132847	assembly:racon_cpu (HVM2044)	CACHED	0	2021-07-31 08:49:32.215	41m 40s	41m 11s	378.9%	2.8 GB	3.2 GB	11.1 GB	5.7 GB
91	b8/68ae83	5132910	assembly:medaka_cpu (HVM2044)	CACHED	0	2021-07-31 09:31:12.394	7m 40s	7m 28s	399.4%	5.6 GB	12.2 GB	5.4 GB	3.4 GB
92	cf/8ca4a3	5132932	assembly:nextpolish (HVM2044)	CACHED	0	2021-07-31 09:38:52.405	10m 30s	9m 49s	342.7%	3.6 GB	71 GB	16 GB	9.5 GB
93	fd/e7a641	5132943	assembly:fixstart (HVM2044)	CACHED	0	2021-07-31 09:49:22.429	2m 5s	1m 25s	93.5%	205.4 MB	355.2 MB	262.6 MB	258.2 MB
94	a4/bb705d	5132944	assembly:quast (HVM2044)	CACHED	0	2021-07-31 09:51:27.467	39.9s	5.9s	78.7%	85.9 MB	253.4 MB	66.8 MB	9.2 MB
88	95/be4965	5141203	assembly:racon_cpu (EC958)	COMPLETED	0	2021-08-06 07:35:05.128	1h 21m 30s	1h 20m 56s	382.7%	4.9 GB	5.1 GB	25.3 GB	13 GB
95	b0/61dec8	5141208	assembly:medaka_cpu (EC958)	COMPLETED	0	2021-08-06 08:56:35.139	8m 30s	8m 18s	469.6%	6.2 GB	12.9 GB	11.8 GB	7.4 GB
96	bb/a737e7	5141211	assembly:nextpolish (EC958)	COMPLETED	0	2021-08-06 09:05:05.112	10m 30s	10m 20s	353.5%	3.6 GB	70 GB	16.2 GB	12.4 GB
97	c1/a832e2	5141213	assembly:fixstart (EC958)	COMPLETED	0	2021-08-06 09:15:35.087	50s	40s	93.9%	208.7 MB	354.7 MB	261.3 MB	257.1 MB
98	0a/3c096e	5141214	assembly:quast (EC958)	COMPLETED	0	2021-08-06 09:16:25.102	14.9s	3.7s	65.8%	88.8 MB	255 MB	66.4 MB	9.2 MB
